Run,Deceleration Calculations,,,,,Front Rotor Temperature (K),,Rear Rotor Temperature (K),,Front Pressure (psi),Rear Pressure (psi),Total Brake Pressure Work (kJ),,
#,Initial Speed m/s,Final Speed m/s,Initial Time (s),Final Time (s),Avg. Deceleration,Temp. Initial,Temp. Final,Temp. Initial,Temp. Final,Max,Max,Initial,Final,Total
,,,,,,,,,,,,,,
1,15,5.54,43.754,46.1895,3.884212687,294,329,285,286,245.71,210.72,-22.69,13.61,36.3
1,15.06,3.47,49.852,52.73272,4.023299731,335,374,289,293,287.27,249.19,3.6,40.28,36.68
1,6.11,3.27,55.385699,57.11639,1.64096306,380,383,298,300,112.89,112.48,38.79,42.46,3.67
1,16.37,6.13,65.9919,68.5921,3.938158603,366,405,306,307,218.78,172.84,24.91,60.41,35.5
1,14.56,6.61,72.248,74.528346,3.486313042,404,428,310,312,185.9,160.59,52.13,76.38,24.25
1,15.75,5.31,85.2296,87.9002,3.90923388,412,455,325,326,162.7,136.19,56.9,86.58,29.68
1,16.21,2.48,92.29906,96.1477,3.567493972,449,502,328,335,218.87,155.22,74.09,105.98,31.89
1,16.64,5.78,103.4427,105.6474,4.92584025,478,506,341,342,232.46,196.7,91.46,118.22,26.76
1,13.88,5.73,109.83912,112.5333,3.025039158,515,537,347,349,150,120.38,108.06,127.32,19.26
1,16.34,4.55,121.9049,124.122596,5.316328297,507,539,355,358,272.59,226.63,109.1,142.92,33.82
1,16.54,2.41,129.1672,134.0508,2.893357359,539,591,360,373,249.08,199.23,126.59,159.38,32.79
1,16.5,2.64,140.215345,142.777,5.410564654,558,580,374,379,266.79,216.59,144.35,184.04,39.69
1,14.23,0,146.5963,151.293,3.029786872,584,632,383,397,213.82,185.75,176.15,208.95,32.8
2,16.02,3.91,45.76197,48.408075,4.576537968,375,430,318,318,236.89,182.66,-19.46,10.72,30.18
2,14.56,4.13,52.75011,55.14988,4.346249849,433,465,322,325,253.51,191.77,0.97,20.89,19.92
2,16.23,1.73,66.35316,69.80063,4.205982938,450,496,334,339,195.52,168.24,6.79,37.33,30.54
2,15.7,5.14,74.725588,77.483564,3.828894813,488,515,342,347,211.04,185.17,24.94,48.58,23.64
2,11.23,0.9,96.721299,99.2166,4.139781133,476,504,358,359,211.65,181.12,23.5,39.06,15.56
2,15.4,2.59,109.7191,112.304,4.955704283,484,520,355,355,202.24,145.04,27.05,57.36,30.31
2,16.03,5.58,117.743,120.4181,3.906396023,515,541,360,361,161.4,139.27,42.66,66.81,24.15
